Category,Function Name,Arguments,Result Type,Explanation,Examples,Display Reference,More Examples
Binary Operators (act on multiple values),!=,"<any> x, <any> y",Boolean,"Same as &lt;&gt;. Returns true if x is not equal to y, otherwise returns false. x and y must be the same type. As with most other functions, null argument values produce a null result, so it is not possible to test for null with this operator. To test for null, use IsNull() instead.",(3 / 4 <> 0.75) returns false,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=194,!=
Binary Operators (act on multiple values),&,"<any> u, <any> v",Text,"Returns a text value that is the concatenation of u and v. Use this operator to link strings of characters together in a formula text field. 

If u or v is not a text value, QuickBase automatically inserts the function ToText() to convert the value to text before concatenating it.

Does not support User or UserList.","""abc"" & ""def"" returns ""abcdef""
""abc"" & 5 returns ""abc5""
[First Name] & "" "" & [Last Name] concatenates the values in the First Name and Last Name field with a space in between them.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=100,&
Binary Operators (act on multiple values),*,"Number m, Number n",Number,Returns the product of m times n.,"[Price] * [Number of Units] multiplies the value in the Price field by the value in the Number of units field.
-3 * 4 returns -12
0.5 * 5 returns 2.5",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=93,*
Binary Operators (act on multiple values),*,"Number n, Duration d",Duration,"Returns a new Duration that is the given Duration d repeated n times. In other words, it's the duration multiplied by the number n. ",3 * Days(2) returns 6 days,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=94,*
Binary Operators (act on multiple values),*,"Duration d, Number n",Duration,"Returns a new Duration that is the given Duration d repeated n times. In other words, it's the duration multiplied by the number n. ",Weeks(2) * 3 returns 6 weeks,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=95,*
Unary Operators (act on single values),+,Number n,Number,"Returns n.
A +plus sign in front of a number returns a positive number.","+5 returns 5
+-5 returns -5",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=76,+
Unary Operators (act on single values),+,Duration d,Duration,"Returns d. 
A +plus sign in front of a duration returns a positive duration.",+ Weeks(3) returns 3 weeks,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=77,+
Binary Operators (act on multiple values),+,"Number m, Number n",Number,Returns the sum of m and n.,"3 + 4 returns 7
[Subtotal] + [Tax] returns the sum achieved by adding the value in the Subtotal field to the value in the Tax field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=80,+
Binary Operators (act on multiple values),+,"Duration x, Duration y",Duration,Returns the duration that is the sum of x and y.,Days(1) + Days(2) returns 3 days,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=82,+
Binary Operators (act on multiple values),+,"Date d, Duration x",Date,Returns the date that is after date d by the duration x. x is truncated to a whole number of days.,"[Start Date] + [Duration] returns the date you get by adding the value in the Duration field to the date in the Start Date field.
ToDate(""Jan 1, 2000"") + Days(2) returns Jan 3, 2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=83,+
Binary Operators (act on multiple values),+,"Duration x, Date d",Date,Returns the date that is after date d by the duration x. x is truncated to a whole number of days. ,"Days(2) + ToDate(""Jan 1, 2000"") returns Jan 3, 2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=84,+
Binary Operators (act on multiple values),+,"Date/Time t, Duration x",Date/Time,Returns the Date/Time that is after Date/Time t by the duration x.,[Call Time] + [Review Period] returns the date and time that follows the date/time in the Call Time field by the duration listed in the Review Period field. ,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=85,+
Binary Operators (act on multiple values),+,"Duration x, Date/Time t",Date/Time,Returns the Date/Time that is after Date/Time t by the duration x.,[Hours Worked] + [Start Time] returns the time of day resulting from adding the value in the Hours Worked field to the time in the Start Time field.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=86,+
Binary Operators (act on multiple values),+,"Duration d, TimeOfDay t",TimeOfDay,Returns the TimeOfDay that is after TimeOfDay t by the duration x.,"ToTimeOfDay(""2 pm"") + Hours(22) returns 12 pm",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=145,+
Binary Operators (act on multiple values),+,"TimeOfDay t, Duration d",TimeOfDay,Returns the TimeOfDay that is after TimeOfDay t by the duration x.,[Start Time] + [Hours Worked] returns the time of day resulting from adding the value in the Hours Worked field to the time in the Start Time field.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=146,+
Unary Operators (act on single values),-,Number n,Number,Returns the arithmetic negative of n.,"-5 returns -5
--5 returns 5
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=78,-
Unary Operators (act on single values),-,Duration d,Duration,Returns the arithmetic negative of d.,"-Weeks(3) returns -3 weeks
-Weeks(-3) returns 3 weeks",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=79,-
Binary Operators (act on multiple values),-,"Number m, Number n",Number,Returns the difference of m and n.,"7 - 3 returns 4
-7 - 2 returns -9",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=87,-
Binary Operators (act on multiple values),-,"Duration x, Duration y",Duration,Returns the difference of x and y.,"Weeks(1) - Days(2) returns 5 days
Days(1) - Weeks(1) returns -6 days",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=88,-
Binary Operators (act on multiple values),-,"Date d, Duration x",Date,Returns the date that is before date d by the duration x. x is truncated to a whole number of days. ,"[Finish] - [Duration] returns the date you get by subracting the value in the Duration field from the date in the Finish field.

ToDate(""Jan 3, 2000"") - Days(2) returns Jan 1, 2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=89,-
Binary Operators (act on multiple values),-,"Date d, Date e",Duration,Returns the duration between dates d and e.,"[Actual Date Completed] - [Forecast Date] returns the duration between the date in the Actual Date Completed field and the one in the Forecast Date field.

ToDate(""Jan 3, 2000"") - ToDate(""Jan 1, 2000"")  returns 2 days",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=90,-
Binary Operators (act on multiple values),-,"Date/Time t, Duration x",Date/Time,Returns the Date/Time that is before Date/Time t by the duration x.,[Event Start] - [Days to Prepare] returns the Date and time that precedes the event start by the number of days in the Days to Prepare field.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=91,-
Binary Operators (act on multiple values),-,"Date/Time t, Date/Time u",Duration,Returns the duration between Date/Time values t and u.,[Created] - [Time/Date Resolved],https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=92,-
Binary Operators (act on multiple values),-,"TimeOfDay t, Duration d",TimeOfDay,Returns the TimeOfDay that is before TimeOfDay t by the duration d.,[Meeting Start] - [Hours of Prep] returns the time that precedes the Meeting Start time by the number of hours listed in the Hours of Prep field.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=147,-
Binary Operators (act on multiple values),-,"TimeOfDay t, TimeOfDay u",Duration,"Returns the duration between TimeOfDay t and TimeOfDay u.

The result may be positive or negative depending on whether t is after or before u. ","[End] - [Start] returns the duration you get by subtracting the time value in the Start field from the value in the End field.
ToTimeOfDay(""3pm"") - ToTimeOfDay(""2pm"") returns 1 hour
ToTimeOfDay(""2pm"") - ToTimeOfDay(""3pm"") returns -1 hour",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=148,-
Binary Operators (act on multiple values),/,"Number m, Number n",Number,Returns m divided by n.,"6 / 4 returns 1.5
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=96,/
Binary Operators (act on multiple values),/,"Duration x, Duration y",Number,Returns the number of times that Duration y divides into x.,"Weeks(1) / Days(1) returns 7
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=97,/
Binary Operators (act on multiple values),/,"Duration x, Number n",Duration,Returns a new Duration that is x divided by n. ,"Weeks(2) / 2 returns 1 week
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=98,/
Binary Operators (act on multiple values),<,"<any> x, <any> y",Boolean,"Returns true if x is less than y, otherwise returns false. x and y must be the same type. For Numbers, the comparison is numerical. For Durations, the comparison is done using length of time represented. For Text, the comparison is done by alphabetical sort order. For Dates, Date/Time, and Time of Day values, the comparison is done by chronological order. For Booleans, false is less than true.","3 < 4 returns true
4 < 3 returns false
""abcdef"" < ""gh"" returns true
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=105,<
Binary Operators (act on multiple values),<=,"<any> x, <any> y",Boolean,"Returns true if x is less than or equal to y, otherwise returns false. x and y must be the same type. For Numbers, the comparison is numerical. For Durations, the comparison is done using length of time represented. For Text, the comparison is done by alphabetical sort order. For Dates, Date/Time, and Time of Day values, the comparison is done by chronological order. For Booleans, false is less than true.","3 <= 4 returns true
""abcdef"" <= ""gh"" returns true",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=106,<=
Binary Operators (act on multiple values),<>,"<any> x, <any> y",Boolean,"Same as !=. Returns true if x is not equal to y, otherwise returns false. x and y must be the same type. As with most other functions, null argument values produce a null result, so it is not possible to test for null with this operator. To test for null, use IsNull() instead.",(3 / 4 <> 0.75) returns false,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=104,<>
Binary Operators (act on multiple values),=,"<any> x, <any> y",Boolean,"Returns true if x is equal to y, otherwise returns false.

x and y must be the same type. 

As with most other functions, null argument values produce a null result, so it is not possible to test for null with this operator. To test for null, use IsNull() instead.","(3 / 4 = 0.75) returns true
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=103,=
Binary Operators (act on multiple values),>,"<any> x, <any> y",Boolean,"Returns true if x is greater than y, otherwise returns false. x and y must be the same type. For Numbers, the comparison is numerical. For Durations, the comparison is done using length of time represented. For Text, the comparison is done by alphabetical sort order. For Dates, Date/Time, and Time of Day values, the comparison is done by chronological order. For Booleans, false is less than true.","3 > 4 returns false

[Actual Completion Date] >= [Projected Completion Date] returns true if the value in the the Actual Completion Date field is greater than the date in the Project Completion Date field.

Weeks(1) > Days(6) returns true
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=107,>
Binary Operators (act on multiple values),>=,"<any> x, <any> y",Boolean,"Returns true if x is greater than or equal to y, otherwise returns false. x and y must be the same type. For Numbers, the comparison is numerical. For Durations, the comparison is done using length of time represented. For Text, the comparison is done by alphabetical sort order. For Dates, Date/Time, and Time of Day values, the comparison is done by chronological order. For Booleans, false is less than true.","[Actual Completion Date] >= [Projected Completion Date] returns true if the value in the the Actual Completion Date field is greater than or equal to the date in the Project Completion Date field.

ToDate(""Jan 1, 2000"") >= ToDate(""Feb 1, 1999"") returns true",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=108,>=
Binary Operators (act on multiple values),^,"Number m, Number n",Number,Returns m raised to the nth power.,"2 ^ 3 returns 8
9 ^ 0.5 returns 3
2 ^ -3 returns 0.125",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=99,^
Numbers,Abs,(Number n),Number,Returns the absolute value of the Number n.,"Abs(3.5) returns 3.5
Abs(-3.5) returns 3.5
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=48,Abs
Durations,Abs,(Duration d),Duration,Returns the absolute value of d.,"Abs(Weeks(3.5)) returns 3.5 weeks
Abs(Weeks(-3.5)) returns 3.5 weeks
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=49,Abs
Dates,AdjustMonth,"(Date d, Number m)",Date,"Returns the date which is m months after the given date d, with the same day number. If the day doesn't exist in that month, the last day of that month is returned.","AdjustMonth([Ordered On], 3) returns the date three months after the date in the Ordered On field.

AdjustMonth(ToDate(""2/20/99""), 2) returns April 20, 1999
AdjustMonth(ToDate(""4/29/99""), -2) returns February 28, 1999 ",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=36,AdjustMonth
Dates,AdjustYear,"(Date d, Number y)",Date,"Returns the date which is y years after the given date d, with the same month and day. If the day doesn't exist in that month, the last day of that month is returned.","AdjustYear([Last Appt], 1) returns the date one year after the date in the Last Appt field.
AdjustYear([Date],-1) returns the date one year before the value in the Date field,
AdjustYear(ToDate(""2/20/99""), 2) returns February 20, 2001
AdjustYear(ToDate(""2/29/00""), -1) returns February 28, 1999",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=35,AdjustYear
Binary Operators (act on multiple values),and,"Boolean a, Boolean b",Boolean,"Returns true if a and b are both true, otherwise returns false.

Use this operator to link conditions together.","(true and false) returns false

[Decision - Technical Lead]=""Approved"" and
[Decision - Project Manager]=""Approved"" and 
[Decision - Project Sponsor]=""Approved"" 
returns true if all three fields contain the value ""approved""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=101,and
Special,AppID,(),Text,Returns a text value containing the database ID of the app.,"AppID() in this app returns ""6ewwzuuj""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=193,AppID
Aggregation,Average,"(Number n, ...)",Number,Returns the average of all the arguments (except any null values).,"Average(12, 6, null) returns 9

",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=130,Average
Aggregation,Average,"(Duration d, ...)",Duration,Returns the average of all the arguments (except any null values).,"Average(Days(1), Days(3)) returns 2 days",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=131,Average
Aggregation,Average,"(Date d, ...)",Date,Returns the average of all the arguments (except any null values).,"Average(ToDate(""1/1/2000""), ToDate(""1/3/2000"")) returns the date 1/2/2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=132,Average
Aggregation,Average,"(Date/Time t, ...)",Date/Time,Returns the average of all the arguments (except any null values).,"average([Actual Finish], [Planned Finish])",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=133,Average
Aggregation,Average,"(TimeOfDay t, ...)",TimeOfDay,Returns the average of all the arguments (except any null values).,"Average([Mon Start Time], [Tues Start Time], [Wed Start Time]) returns the average of all three start times.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=144,Average
Encoding Functions,Base64Decode,(Text t),Text,Decodes text using base64 encoding.,"Base64Decode(""aGVsbG8gd29ybGQ="") returns ""hello world""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=198,Base64Decode
Encoding Functions,Base64Encode,(Text t),Text,Encodes text using base64 encoding.,"Base64Encode(""hello world"") returns ""aGVsbG8gd29ybGQ=""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=197,Base64Encode
Text,Begins,"(Text u, Text v)",Boolean,"Returns true if the text u begins with the text v, otherwise returns false.","Begins(""abcdef"", ""cd"") returns false
Begins(""abcdef"", ""abcd"") returns true
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=110,Begins
Special,Case,"(<any> x, <any> val1, <any> result1, ..., <any> else-result)",<same type as result1>,"Case() is a variation of the If() function. If you want to test many conditions against a single field, use the Case() function instead of the If() function. 

QuickBase evaluates the value x and compares it to each of the values that follow (val1 and so on) sequentially. If the value X matches any value, QuickBase returns the corresponding result which lives behind the comma following the matched value. If value x is not equal to any of the values, QuickBase returns the else-result at the end of the formula.

The else-result is optional. If omitted, QuickBase assumes it's null (empty). 

The value x may be of any data type, but all of the values must be of the same type as x.  
  ","Case([Grade], ""A"", 100, ""B"", 90, null)

This formula says: If the value in the Grade field is A, then return 100. If the value in the Grade field is B, then return 90. Otherwise, return nothing (null).

",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=136,Case
Rounding and Truncating,Ceil,(Number x),Number,Returns the smallest integer greater than or equal to the number x.,"Ceil(3) returns 3
Ceil(3.4) returns 4
Ceil(-3.4) returns -3
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=23,Ceil
Rounding and Truncating,Ceil,"(Number x, Number y)",Number,Returns the smallest multiple of y which is greater than or equal to x.,"Ceil(3.5, 2) returns 4
Ceil(-3.5, 2) returns -2",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=24,Ceil
Rounding and Truncating,Ceil,"(Duration x, Duration y)",Duration,Returns the smallest multiple of the duration y which is greater than or equal to the duration x.,"Ceil(Days(3.5), Days(2)) returns Days(4)
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=25,Ceil
Text,Contains,"(Text u, Text v)",Boolean,"Returns true if v is contained in u, otherwise returns false.","Contains(""abcdef"", ""cd"") returns true
Contains([Status], ""open"") returns true if the Status field contains the word ""open""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=109,Contains
TextList,Contains,"(TextList textList, Text textToSearchFor)",Boolean,"Returns true if textToSearchFor is contained in textList, otherwise returns false. Comparison is not case sensitive.","Contains([Skills Required], ""Kung fu"") returns true if the ""Skills required"" field has as one of its selected options ""Kung fu""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=199,Contains
UserList,Contains,"Contains (UserList userList, User userToSearchFor)",Boolean,"Returns true if userToSearchFor is contained in userList, otherwise returns false.","Contains([Team members], [Assigned To]) returns true if the value of the ""Assigned To"" field appears in the ""Team members"" list",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=200,Contains
Aggregation,Count,"(<any> x, ...)",Number,"Counts the number of non-null arguments. For Text arguments, non-blanks are counted. For Boolean arguments, trues are counted.

This function can also be used in the context of a Summary report where it will count the # of Non-null records for each grouping, if used to specify the field to check in a Calculated Column.","Count ("""", ""abc"", true, false, 53) returns 3

For the Summary Report example, a formula might look something like this:

Count([Field])

This might be used if the customer were trying to determine - within the Summary Report groups - how many of these records had a value in [Field]",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=129,Count
Dates,Date,"(Number year, Number month, Number day)",Date,"Creates a date from a year, month and day.","Date(2000, 1, 10) returns the date January 10, 2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=29,Date
Dates,Day,(Date d),Number,Returns the day of the month of the given Date d.,"Day([Start Date]) returns the day of the month for the date that appears in the Start Date field.

Day(ToDate(""Jan 10, 2000"")) returns 10",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=32,Day
Dates,DayOfWeek,(Date d),Number,Returns the number of days by which the given date d follows the first day of the week (Sunday returns 0).,"DayOfWeek([Start Date]) returns the number of the day of the week for the date that appears in the Start Date field.
DayOfWeek(ToDate(""Aug 23, 2000"")) returns 3
DayOfWeek(ToDate(""Aug 20, 2000"")) returns 0",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=34,DayOfWeek
Dates,DayOfYear,(Date d),Number,Returns the number of days by which the given date d follows the first day of the year (January 1 returns 0).,"DayOfYear(ToDate(""Jan 1, 2000"")) returns 0
DayOfYear(ToDate(""Jan 10, 2000"")) returns 9",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=33,DayOfYear
Durations,Days,(Number n),Duration,"Returns a Duration representing n days. This function takes a number and converts it into a Duration type value, expressed in days. ","Days(1.5) returns a 1.5 day duration
Days([Estimated # of days]) converts the numeric value in the Estimated # of days field into a duration expressed in days. The number doesn't change, just the data type.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=65,Days
Special,Dbid,(),Text,Returns a Text value containing the database ID of a table.,"Dbid() in this database returns ""6ewwzuuj""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=137,Dbid
Text,Ends,"(Text u, Text v)",Boolean,"Returns true if the text u ends with the text v, otherwise returns false.","Ends(""abcdef"", ""cd"") returns false
Ends(""abcdef"", ""cdef"") returns true
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=111,Ends
Numbers,Exp,(Number n),Number,"Returns e raised to the nth power, where e is approximately 2.71828182845905

This exponential function is for use in logarithmic calculations that track growth. For example, you can use it to figure compounding interest.","Exp(2) returns 7.389056 (which is e, or 2.71828182845905, to the 2nd power)

Exp(5) returns 148.413159 (e to the 5th power)",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=54,Exp
Dates,FirstDayOfMonth,(Date d),Date,Returns the first day of the month in which the date falls.,"FirstDayOfMonth([Order Date]) returns the first day of the month in which the Order Date occurs.

FirstDayOfMonth(Today()) returns the first day of the current month.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=39,FirstDayOfMonth
Dates,FirstDayOfPeriod,"(Date d, Duration p, Date r)",Date,"Returns the first day of the period in which the date d falls. 

The cycle of periods is defined by the given Duration p, repeated in sequence starting at the given reference date r. If the period p is not a whole number of days, the fractional part is ignored.","Useful for handling biweekly pay periods.

FirstDayOfPeriod([date field], Weeks(2), Date(2000,5,1)) returns the date that is the start of the two week period in which the date in the date field falls. The initial two week period that starts the cycle begins on May 1, 2000.


FirstDayOfPeriod(Today(), Days(365), Date(2005,7,1)) returns the date July 1st of the current year-long period. Between 7/1/06 and 7/1/07 this would be July 1, 2006. (As the years go on, this method won't account for leap years.)",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=43,FirstDayOfPeriod
Dates,FirstDayOfWeek,(Date d),Date,Returns the first day (Sunday) of the week in which the date falls.,"FirstDayOfWeek([Start Date]) returns the date of the Sunday (first day of the week) in which the Start Date occurs.
FirstDayOfWeek(ToDate(""7/30/2007"")) returns the date 7-29-07",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=41,FirstDayOfWeek
Dates,FirstDayOfYear,(Date d),Date,Returns the first day of the year in which the date falls.,"FirstDayOfYear([Termination Date]) returns the first day of the year in which the Termination date occurs.

FirstDayOfYear(Today()) returns the first day of the current year.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=37,FirstDayOfYear
Rounding and Truncating,Floor,(Number x),Number,"Returns the largest integer less than or equal to the number x.  

Note that if x is a negative fraction, the result is closer to negative infinity than x is (compare to function Int).","Floor(3) returns 3
Floor(3.4) returns 3
Floor (3.8) returns 3
Floor(-3.4) returns -4
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=20,Floor
Rounding and Truncating,Floor,"(Number x, Number y)",Number,Returns the largest multiple of y which is less than or equal to x.,"Floor(3.5, 2) returns 2
Floor(-3.5, 2) returns -4",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=21,Floor
Rounding and Truncating,Floor,"(Duration x, Duration y)",Duration,Returns the largest multiple of the duration y which is less than or equal to the duration x.,"Floor(Days(3.5), Days(2)) returns Days(2)
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=22,Floor
